artistName,Puesto,Nombre,Pais,Genero,photoLink
WOS,1,Luisa,Argentina,Trap argentino,https://i.scdn.co/image/ab6761610000e5eb9ac9751193c7c49b97db7b60
WOS,1,Olivia,Argentina,Trap argentino,https://i.scdn.co/image/ab6761610000e5ebee954a3b5418065c2fe253fb
Tiago PZK,5,Luisa,Argentina,Urbano latino,https://i.scdn.co/image/ab6761610000e5eb9ac9751193c7c49b97db7b60
Bizarrap,4,Luisa,Argentina,Trap argentino,https://i.scdn.co/image/ab6761610000e5eb9ac9751193c7c49b97db7b60
Bizarrap,3,Olivia,Argentina,Trap argentino,https://i.scdn.co/image/ab6761610000e5ebee954a3b5418065c2fe253fb
Quevedo,3,Luisa,España,Pop rap,https://i.scdn.co/image/ab6761610000e5eb9ac9751193c7c49b97db7b60
Quevedo,2,Olivia,España,Pop rap,https://i.scdn.co/image/ab6761610000e5ebee954a3b5418065c2fe253fb
Morat,2,Luisa,Colombia,Latin pop,https://i.scdn.co/image/ab6761610000e5eb9ac9751193c7c49b97db7b60
Mora,5,Olivia,Puerto Rico,Dembow,https://i.scdn.co/image/ab6761610000e5ebee954a3b5418065c2fe253fb
LOUTA,4,Olivia,Argentina,Urbano latino,https://i.scdn.co/image/ab6761610000e5ebee954a3b5418065c2fe253fb
Anson Seabra,1,Sol,Estados Unidos,Pop,https://i.scdn.co/image/ab6761610000e5eb72e949e9f77442ceed96b124
Tate McRae,2,Sol,Canada,Pop,https://i.scdn.co/image/ab6761610000e5eb72e949e9f77442ceed96b124
Julie & cast,3,Sol,Estados Unidos,Pop,https://i.scdn.co/image/ab6761610000e5eb72e949e9f77442ceed96b124
Selena Gomez,4,Sol,Estados Unidos,Pop,https://i.scdn.co/image/ab6761610000e5eb72e949e9f77442ceed96b124
Olivia Rodrigo,5,Sol,Estados Unidos,Teen pop,https://i.scdn.co/image/ab6761610000e5eb72e949e9f77442ceed96b124
